	gene_symbol
1074	ARFGAP1
1075	ARFGAP2
1076	ARFGAP3
1077	ARFGEF1
1078	ARFGEF2
1079	ARFIP1
1080	ARFIP2
1081	ARFRP1
1082	ARG1
1083	ARG2
1084	ARGFX
1085	ARGFXP1
1086	ARGFXP2
1087	ARGLU1
1088	ARHGAP1
1089	ARHGAP10
1090	ARHGAP11A
1091	ARHGAP11B
1092	ARHGAP12
1093	ARHGAP15
1094	ARHGAP16P
1095	ARHGAP17
1096	ARHGAP18
1097	ARHGAP19
1098	ARHGAP19-SLIT1
1099	ARHGAP20
1100	ARHGAP21
1101	ARHGAP22
1102	ARHGAP22-IT1
1103	ARHGAP23
1104	ARHGAP24
1105	ARHGAP25
1106	ARHGAP26
1107	ARHGAP27
1108	ARHGAP28
1109	ARHGAP29
1110	ARHGAP30
1111	ARHGAP31
1112	ARHGAP32
1113	ARHGAP33
1114	ARHGAP35
1115	ARHGAP36
1116	ARHGAP39
1117	ARHGAP4
1118	ARHGAP40
1119	ARHGAP42
1120	ARHGAP44
1121	ARHGAP5
1122	ARHGAP6
1123	ARHGAP8
1124	ARHGAP9
1125	ARHGDIA
1126	ARHGDIB
1127	ARHGDIG
1128	ARHGEF1
1129	ARHGEF10
1130	ARHGEF10L
1131	ARHGEF11
1132	ARHGEF12
1133	ARHGEF15
1134	ARHGEF16
1135	ARHGEF17
1136	ARHGEF18
1137	ARHGEF19
1138	ARHGEF2
1139	ARHGEF25
1140	ARHGEF26
1141	ARHGEF26-AS1
1142	ARHGEF3
1143	ARHGEF33
1144	ARHGEF35
1145	ARHGEF37
1146	ARHGEF38
1147	ARHGEF4
1148	ARHGEF40
1149	ARHGEF5
1150	ARHGEF6
1151	ARHGEF7
1152	ARHGEF9
1153	ARID1A
1154	ARID1B
1155	ARID2
1156	ARID3A
1157	ARID3B
1158	ARID3C
1159	ARID4A
1160	ARID4B
1161	ARID5A
1162	ARID5B
1163	ARIH1
1164	ARIH2
1165	ARIH2P1
1166	ARL1
1167	ARL10
1168	ARL11
1169	ARL13A
1170	ARL13B
1171	ARL14
1172	ARL15
1173	ARL16
1174	ARL17A
1175	ARL17B
1176	ARL2
1177	ARL2BP
1178	ARL2BPP2
1179	ARL2BPP3
1180	ARL3
1181	ARL4A
1182	ARL4C
1183	ARL4D
1184	ARL4P
1185	ARL4P2
1186	ARL5A
1187	ARL5B
1188	ARL5C
1189	ARL6
1190	ARL6IP1
1191	ARL6IP4
1192	ARL6IP5
1193	ARL6IP6
1194	ARL8A
1195	ARL8B
1196	ARL9
1197	ARMC1
1198	ARMC10
1199	ARMC2
1200	ARMC3
1201	ARMC4
1202	ARMC5
1203	ARMC6
1204	ARMC7
1205	ARMC8
1206	ARMC9
1207	ARMCX1
1208	ARMCX2
1209	ARMCX3
1210	ARMCX4
1211	ARMCX5
1212	ARMCX5-GPRASP2
1213	ARMCX6
1214	ARMS2
1215	ARNT
1216	ARNT2
1217	ARNTL
1218	ARNTL2
1219	ARPC1A
1220	ARPC1B
1221	ARPC2
1222	ARPC3
1223	ARPC3P1
1224	ARPC3P2
1225	ARPC3P3
1226	ARPC3P5
1227	ARPC4
1228	ARPC5
1229	ARPC5L
1230	ARPM1
1231	ARPP19
1232	ARPP21
1233	ARR3
1234	ARRB1
1235	ARRB2
1236	ARRDC1
1237	ARRDC2
1238	ARRDC3
1239	ARRDC4
1240	ARRDC5
1241	ARSA
1242	ARSB
1243	ARSD
1244	ARSDP1
1245	ARSE
1246	ARSEP1
1247	ARSF
1248	ARSFP1
1249	ARSG
1250	ARSH
1251	ARSI
1252	ARSJ
1253	ARSK
1254	ART1
1255	ART2P
1256	ART3
1257	ART4
1258	ART5
1259	ARTN
1260	ARV1
1261	ARVCF
1262	ARVD3
1263	ARVD4
1264	ARVD6
1265	ARVD7
1266	ARX
1267	AS3MT
1268	ASAH1
1269	ASAH2
1270	ASAH2B
1271	ASAH2C
1272	ASAP1
1273	ASAP1-IT1
1274	ASAP2
1275	ASAP3
1276	ASB1
1277	ASB10
1278	ASB11
1279	ASB12
1280	ASB13
1281	ASB14
1282	ASB15
1283	ASB16
1284	ASB17
1285	ASB18
1286	ASB2
1287	ASB3
1288	ASB4
